2020-10-17T00:18:27.561588;AP1;d8:a2:5e:00:8d:96;-68;Apple, Inc.;
2020-10-17T00:18:27.695712;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:28.310190;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:29.129484;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:29.232452;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:29.846277;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:29.948779;AP1;e4:3e:d7:d4:ea:1c;-66;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:30.051153;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:30.665590;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:31.995101;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
